Group,Condition,Cluster,No.CT_Nuclei,No.Total_Nuclei,Percent_CT_Nuclei
F+ GFP,Null,ASC,366,6420,5.70093457943925
FF GFP,Null,ASC,487,9287,5.24388930763433
FF Td,Null,ASC,417,9363,4.45370073694329
F+ Td,WT,ASC,456,7632,5.9748427672956
WT GFP,WT,ASC,325,6433,5.05207523705892
WT Td,WT,ASC,294,7314,4.01968826907301
F+ GFP,Null,EPEN,1,6420,0.0155763239875389
FF GFP,Null,EPEN,1,9287,0.0107677398514052
FF Td,Null,EPEN,2,9363,0.0213606749973299
F+ Td,WT,EPEN,2,7632,0.0262054507337526
WT Td,WT,EPEN,1,7314,0.0136724090784796
F+ GFP,Null,EXC,3874,6420,60.3426791277259
FF GFP,Null,EXC,6636,9287,71.4547216539249
FF Td,Null,EXC,6414,9363,68.503684716437
F+ Td,WT,EXC,4247,7632,55.6472746331237
WT GFP,WT,EXC,4106,6433,63.8271413026582
WT Td,WT,EXC,4477,7314,61.2113754443533
F+ GFP,Null,INH,2070,6420,32.2429906542056
FF GFP,Null,INH,1927,9287,20.7494346936578
FF Td,Null,INH,2335,9363,24.9385880593827
F+ Td,WT,INH,2559,7632,33.5298742138365
WT GFP,WT,INH,1813,6433,28.1828073993471
WT Td,WT,INH,2352,7314,32.1575061525841
F+ GFP,Null,NA,53,6420,0.825545171339564
FF GFP,Null,NA,158,9287,1.70130289652202
FF Td,Null,NA,134,9363,1.4311652248211
F+ Td,WT,NA,62,7632,0.812368972746331
WT GFP,WT,NA,64,6433,0.994870200528525
WT Td,WT,NA,87,7314,1.18949958982773
F+ GFP,Null,OG,36,6420,0.560747663551402
FF GFP,Null,OG,43,9287,0.463012813610423
FF Td,Null,OG,37,9363,0.395172487450603
F+ Td,WT,OG,256,7632,3.35429769392034
WT GFP,WT,OG,105,6433,1.63220892274211
WT Td,WT,OG,72,7314,0.984413453650533
F+ GFP,Null,OPC,20,6420,0.311526479750779
FF GFP,Null,OPC,35,9287,0.376870894799182
FF Td,Null,OPC,24,9363,0.256328099967959
F+ Td,WT,OPC,50,7632,0.655136268343815
WT GFP,WT,OPC,20,6433,0.310896937665164
WT Td,WT,OPC,31,7314,0.423844681432869
