Group,Condition,customclassif,No.CT_Nuclei,No.Total_Nuclei,Percent_CT_Nuclei
F+ GFP,Null,Dividing,863,6420,13.4423676012461
FF GFP,Null,Dividing,1402,9287,15.0963712716701
FF Td,Null,Dividing,1282,9363,13.6921926732885
F+ Td,WT,Dividing,1124,7632,14.727463312369
WT GFP,WT,Dividing,890,6433,13.8349137260998
WT Td,WT,Dividing,962,7314,13.1528575334974
F+ GFP,Null,Excitatory neurons,1200,6420,18.6915887850467
FF GFP,Null,Excitatory neurons,2123,9287,22.8599117045332
FF Td,Null,Excitatory neurons,2039,9363,21.7772081597779
F+ Td,WT,Excitatory neurons,1274,7632,16.6928721174004
WT GFP,WT,Excitatory neurons,1284,6433,19.9595833981035
WT Td,WT,Excitatory neurons,1418,7314,19.3874760732841
F+ GFP,Null,Inhibitory neurons,1035,6420,16.1214953271028
FF GFP,Null,Inhibitory neurons,809,9287,8.7111015397868
FF Td,Null,Inhibitory neurons,1084,9363,11.5774858485528
F+ Td,WT,Inhibitory neurons,1287,7632,16.8632075471698
WT GFP,WT,Inhibitory neurons,910,6433,14.145810663765
WT Td,WT,Inhibitory neurons,1177,7314,16.0924254853705
F+ GFP,Null,Intermediate progenitors,992,6420,15.4517133956386
FF GFP,Null,Intermediate progenitors,1727,9287,18.5958867233768
FF Td,Null,Intermediate progenitors,1639,9363,17.5050731603119
F+ Td,WT,Intermediate progenitors,1205,7632,15.788784067086
WT GFP,WT,Intermediate progenitors,1080,6433,16.7884346339189
WT Td,WT,Intermediate progenitors,1142,7314,15.6138911676237
F+ GFP,Null,Mature neurons,1956,6420,30.4672897196262
FF GFP,Null,Mature neurons,2707,9287,29.1482717777539
FF Td,Null,Mature neurons,2866,9363,30.6098472711738
F+ Td,WT,Mature neurons,2200,7632,28.8259958071279
WT GFP,WT,Mature neurons,1895,6433,29.4574848437743
WT Td,WT,Mature neurons,2258,7314,30.872299699207
F+ GFP,Null,OPCs,20,6420,0.311526479750779
FF GFP,Null,OPCs,41,9287,0.441477333907613
FF Td,Null,OPCs,26,9363,0.277688774965289
F+ Td,WT,OPCs,61,7632,0.799266247379455
WT GFP,WT,OPCs,38,6433,0.590704181563812
WT Td,WT,OPCs,36,7314,0.492206726825267
F+ GFP,Null,Radial glia,354,6420,5.51401869158879
FF GFP,Null,Radial glia,478,9287,5.14697964897168
FF Td,Null,Radial glia,427,9363,4.56050411192994
F+ Td,WT,Radial glia,481,7632,6.30241090146751
WT GFP,WT,Radial glia,336,6433,5.22306855277476
WT Td,WT,Radial glia,321,7314,4.38884331419196
