Group,EGFR_Status,customclassif,No.CT_Nuclei,No.Total_Nuclei,Percent_CT_Nuclei
het GFP,Null,Astrocytes,832,9279,8.9664834572691
hom GFP,Null,Astrocytes,1339,13137,10.1925858262922
hom TDT,Null,Astrocytes,1118,10680,10.4681647940075
het TDT,WT,Astrocytes,3587,12208,29.382372214941
wt GFP,WT,Astrocytes,1286,7958,16.1598391555667
wt TDT,WT,Astrocytes,1643,8044,20.4251616111387
het GFP,Null,Endothelial cells,107,9279,1.15314150231706
hom GFP,Null,Endothelial cells,133,13137,1.01240770343305
hom TDT,Null,Endothelial cells,118,10680,1.10486891385768
het TDT,WT,Endothelial cells,213,12208,1.74475753604194
wt GFP,WT,Endothelial cells,20,7958,0.251319426991706
wt TDT,WT,Endothelial cells,37,8044,0.459970164097464
het GFP,Null,GABAergic neurons,1083,9279,11.6715163271904
hom GFP,Null,GABAergic neurons,1535,13137,11.6845550734567
hom TDT,Null,GABAergic neurons,1201,10680,11.2453183520599
het TDT,WT,GABAergic neurons,626,12208,5.12778505897772
wt GFP,WT,GABAergic neurons,797,7958,10.0150791656195
wt TDT,WT,GABAergic neurons,658,8044,8.18000994530085
het GFP,Null,Immature neurons,2246,9279,24.2051945252721
hom GFP,Null,Immature neurons,3412,13137,25.9724442414554
hom TDT,Null,Immature neurons,2725,10680,25.5149812734082
het TDT,WT,Immature neurons,868,12208,7.11009174311927
wt GFP,WT,Immature neurons,1902,7958,23.9004775069113
wt TDT,WT,Immature neurons,1578,8044,19.617105917454
het GFP,Null,Mature neurons,1269,9279,13.6760426770126
hom GFP,Null,Mature neurons,1521,13137,11.5779858415163
hom TDT,Null,Mature neurons,1090,10680,10.2059925093633
het TDT,WT,Mature neurons,1365,12208,11.1811926605505
wt GFP,WT,Mature neurons,428,7958,5.37823573762252
wt TDT,WT,Mature neurons,306,8044,3.80407757334659
het GFP,Null,Microglial cells,103,9279,1.1100334087725
hom GFP,Null,Microglial cells,132,13137,1.00479561543731
hom TDT,Null,Microglial cells,118,10680,1.10486891385768
het TDT,WT,Microglial cells,125,12208,1.02391874180865
wt GFP,WT,Microglial cells,21,7958,0.263885398341292
wt TDT,WT,Microglial cells,36,8044,0.447538538040776
het GFP,Null,Neural Progenitor cells,560,9279,6.03513309623882
hom GFP,Null,Neural Progenitor cells,539,13137,4.10291542970237
hom TDT,Null,Neural Progenitor cells,450,10680,4.21348314606742
het TDT,WT,Neural Progenitor cells,397,12208,3.25196592398427
wt GFP,WT,Neural Progenitor cells,416,7958,5.22744408142749
wt TDT,WT,Neural Progenitor cells,317,8044,3.94082545997016
het GFP,Null,Neuroblasts,1436,9279,15.4758055824981
hom GFP,Null,Neuroblasts,2114,13137,16.0919540229885
hom TDT,Null,Neuroblasts,1805,10680,16.9007490636704
het TDT,WT,Neuroblasts,690,12208,5.65203145478375
wt GFP,WT,Neuroblasts,1043,7958,13.1063081176175
wt TDT,WT,Neuroblasts,890,8044,11.0641471904525
het GFP,Null,Oligodendrocyte precursor cells,352,9279,3.79351223192154
hom GFP,Null,Oligodendrocyte precursor cells,841,13137,6.40176600441501
hom TDT,Null,Oligodendrocyte precursor cells,718,10680,6.72284644194757
het TDT,WT,Oligodendrocyte precursor cells,1420,12208,11.6317169069463
wt GFP,WT,Oligodendrocyte precursor cells,729,7958,9.1605931138477
wt TDT,WT,Oligodendrocyte precursor cells,1034,8044,12.8543013426156
het GFP,Null,Oligodendrocytes,328,9279,3.53486367065417
hom GFP,Null,Oligodendrocytes,440,13137,3.34931871812438
hom TDT,Null,Oligodendrocytes,378,10680,3.53932584269663
het TDT,WT,Oligodendrocytes,499,12208,4.08748361730013
wt GFP,WT,Oligodendrocytes,431,7958,5.41593365167127
wt TDT,WT,Oligodendrocytes,418,8044,5.19641969169567
het GFP,Null,Radial glial cells,963,9279,10.3782735208535
hom GFP,Null,Radial glial cells,1131,13137,8.60927152317881
hom TDT,Null,Radial glial cells,959,10680,8.97940074906367
het TDT,WT,Radial glial cells,2418,12208,19.8066841415465
wt GFP,WT,Radial glial cells,885,7958,11.120884644383
wt TDT,WT,Radial glial cells,1127,8044,14.0104425658876
